review,rating
good one but please give folder hide options and it orientation works only when smartphone system is unlocked correct it to work independently and favorite folder show on main page thank you,4
after update cannot used google voice typing in thai language on my s20 ultra,3
issue with cash back no cashback after transaction also so not so good after promocide application also shows that u missed promo code,1
in my heart i give you 5 stars but the three stars you see is the absense of the lock button where it is easily accessed let the lock button remain as it was just click to lock and your addition swipe to unlock everybody happy,3
one cant get latest informations so is my rating in my view these platforms are also to keep us updated,3
great more private browser using same underlying open source rendering engine as chrome only doesnt yet get 5 stars from me as has passwords and other sync but not yet full history sync across devices,4
xiaomi launched this app after seeing s pay worst app ive ever used s pay mini too is better than all other payment apps s pay is great because its easy to use even from lockscreen,1
does it support interactive videos,3
i wanted to give 5 start review the only complain i have is that in andorid version latext formuals are not rendered they comes in text format please add a way to render the formulas,4
it was great now still great for vpn browser but now puffin very bad and worst for compression data usage consume too much great its much better for open dating website and greatly reduce data usage opera mini uc mini cm browser and puffin web browser are must have browsers but really annoying for exportimport bookmark why not make it simple such as save to internal storage,1
everytime i open the app an error pop ups and app is not working anyway,2
nice for kids and teens,4
previously its working better now iam facing problem its second time my electricity bill shows late update i had paid my bill yesterday still its not updated,3
when i transfer my files in cloud storage to sd card my transfer process was failed because of my screen phone was gotten turn off also the transfer speed of cloud storage to sd card was too slow,3
earlier i was able to check my credit score but now this interface is not opening,2
have several file manager apps installed on my phone i have found this to be by far better than the others it also has an excellent feature of connecting to your pc or laptop to transfer files between them by ftp had tried several standalone apps for this purpose only but all of them had some problems this one works flawlessly thank you guys look forward to see other apps from you,4
only downloaded this to make ai generated images from prompts and it cant do that,1
a good companion especially in regard to fulfilment of ur learning curiosity and when stuck at fence also,5
it is nice and a dito copy of original chatgpt,4
the best option for transferring to from ios to android,5
i want to have khmer language,5
she is very weak and makes mistakes all the time and the data is not updated to her,2
is the same like any other appi would like if there is time on when last you used the app,3
very helpful at my sons homework,5
it is fast but theyre lot of ads even though i already turn on the ads blocker,3
it is a good app nothing about bad,5
this is very bad for this app is ask me to primium gpt it cant upload photo thats why i am not using this app so you can not use app,1
omggg loved the new voice update now i can ask questions and learn new things without having to read long endless paragraphs mannually3,5
viber shows a person as last seen a day ago when i talked to that same person couple of hours ago and this goes for more people not just that one and it doesnt update the status until they are online again,4
it is good app for learning,5
why does the videos that were played previouslyget automatically started where we had left it many people watches r rated movies and also videos that cant be played publicly these is embarrassing fix this asap,1
i am not able to view the coupons section in the airtel thanks all since a month whenever i open it it says there is an error please try later neither am i able to see the present coupons nor am i able to add new ones fix this asap,2
opening pdfs into the browser itself instead of downloading like firefox is a must feature to be added also viewing options in read mode like page color text spacing etc,3
just leave from the last beta program version 97 and update to the stable version 98 the builtin adblock plus isnt working well as adguard for some websites maybe the easylist should be updated by the way the app icon gets weird now it looks not balanced and discomforts me,3
it is fantastic as long as you use it wisely,5
i love watching movies and i download from chrome too but i dont know why only half of the downloads are done and then it automatically starts from the beginning after all why is this happening please fix it by doing,2
im trying to find out my postpaid previous months bill statement but its not available dont know whether it is available in the system i do not face difficulty finding the same from other competitors app request help pl,3
cant change to chatgpt 4 although i have subscription yesterday was working fine today just decided to not give me the option to allow me to do it was there an update that broke this,1
wierd review display pops up with a reminder to ve sure you know who you are sending to but this screen does not show who you are sending to,2
does what it says on the tin with no complications looses one star because new layout is slightly confusing need to go through multiple tabs and menues to do anything,4
chatgpt is actually good but i so dissapointed by openai decision to not give new accounts free credits to the api anymore especially for people whos new and its such a stingy decision to made and they not even announce anything at least give your users some information,3
most of thetimes you cant brouse without data,1
the best is only good enough,5
chstgpt is developing 50 and this version us still dragging it 35 feet when it works,1
its easy to talk with chatgpt everything you want to know it tells you with a huge amount of data if you want try it if you face problem in any situation,5
the app is goodbut it has one drawbackvoice alertvoice alert wont workthe apps like phone pe etc has updated this earlierthis update is importanthope bharatpe introduce this service asap,1
its a good app but during calculations there slightly mistakes,3
i have been using paytm from the start it works super but today i updated then its not open the app so disappointed i have to clear out some payments today but the update made the app not opens plz check and sort out quick,2
i gave it a task to do but gave me inaccurate info and details,1
requested support one week ago and still waiting if you write an email to the support you get a message telling to ask in the chat i did no answer i have a paid subscription though,2
mic doesnt work in this app many many times,2
amazing youll be surprised to know how humans like this ai is,5
its okay but if charges too much,3
not sure i should be happy when ai are this smart hopefully this is not a beginning of t1000 yeah its very smart,5
it is a good app which provides a lot of accurate information whenever you search,2
love it cant wait to see more improvements like exchanging with vocals and pictures,4
somthing is off when i tried to pay my broadband bill it was asking upi id within the app and after proceed it was asking to use an external application with bill details,2
its very very useful one simply awesome,5
just downloaded the app and while trying to open it to pay my phone bill it says add sdk feature for airtel and while entering my mobile number i am unable to receive an otp if there is a delay in payment that would not be my fault,2
please add themes to discord like in pc you can add themes with betterdiscord the feel just isnt there with discord mobile if you dont have themes of your taste,2
its a good app overall but i cant update it whenever i click on update button it starts then stops automatically and all i can do is press it numerous time still nothing happens,1
great app but since the last update the archive viewextract dont work anymore solid explorer attempted to perform an invalid operation hope it gets fixed soon,4
not bad but if this ai can talk with us and if this ai can give us picture ete and etc,4
return some errors that i dont have the latest googleplay service thats the only app with this problem on my phone which is updated with all the latest software,1
cant see everyone online in app,1
seamless experience a rare gem in the app world no ads and effortless usability make this app a true standout,5
the ui is very bad i have installed and uninstalled this app 23 times thought i m not understanding it well but really its not at all fast and convenient i have used es explore for years and dont find easy ui like that here so bye bye,2
nice app i highly recommend this app for those who cant access google you can ask it for question and even start a conversation although it doesnt auto scroll still a pretty good game,5
everything is nice just want material you themeing inside the app,4
lower star rating now since you deleted my previous review i even started that review saying that ive never really had problems with the app until recently ffs i uninstalled and reinstalled and lost absolutely everything so thanks for that it started working properly again for a few minutes but now is back to not working on my wifi at all again something needs to be fixed find it please ive been using this app since 2012 would suck to have to abandon it now,2
pretty ui promising features but rough edges in unexpected and unnecessary areas when offline app doesnt recognize pro version has been purchased and blocks access suggesting purchase of pro version email to support unanswered for 23 weeks now unistalled,3
worst app no gives real time data gives data 2 tyears old,1
not as good as bard,2
its a great appbut recently i cant find those movies or videos in my device which i download from telegram but those are available in the appi am unable to delete files and my storage is about to fill up struggling so much please fix it,2
this app used to be better i used to use it for writing stories fanfictions and do some roleplaying to pass the time at first chat gpt 4 would downgrade to its previous model after a while it got fixed somewhat but now new problem almost everything is a copyright issue and it goes crazy at times with the unable to assist with that request if diverge from the world when i been within the premise and lets not forget the ethical considerations at every time which can feel like a lecture,2
we must you must use this app cuz babeee ai is my new boo,5
the only issue im facing is while looking photos in a folder it doesnt allow me to swipe to next image and when i click back it directly takes me to starting of the app it is very annoying to go through the folders everytime i want to see the next image i waited long enough for this to clear but no update once the bug gets fixed ill change my rating,1
i dont know why now the telegram downloadings are too slow and lag before its was very fast and we are so happy but now itss too bad even taking more than 2 hours to download a 400 mb movie please take my words seriously and kindly solve that issue please,4
very helpful for engineering students this app give the answer very smartlythank you chat gpt,5
app is providing u 12 interest and thats good but it has several errors my loan unlocking date was 20 february but yet it is still saying wait for 1 days even though today its 21st feb i have also dropped an email to bharat pays mail id but no reply they are not even providing a customer care number i am afraid to keep my money in this app earlier i was keeping thousands of rupees in it but not anymore now,2
answer consistent with the medical literature on this topic,5
update on 090323 sorry to say but this app has data stored till september 2021 which is very old and not very useful developers need to improve this update on 040524 im very disappointed with the performance of the chatgpt app it consistently fails to follow even the simplest instructions making it incredibly frustrating to use i faced many problems theyre not fixing their bugs they often lose my chat data sometimes the messages i send in chat also get lost network error,1
the rest of the upi apps do not charge any processing fee only phonepe is charging the extra processing fee,3
everything is fine except the issue with online subs theres always some problem with this feature now when i try to download the subtitles nothing happens no error message no downloads just nothing ive already tried updating,2
hello the app features a lots of stuffs that covers the need of every common user the only the biggest issue im facing is with the downloaded files the files seems to have some sort of encoding which restrict the files to be played in any other players the downloaded files when loaded to other player cannot be played even it plays it just hold a frame that says you need to install playit for watching this,3
hello in starting it works good but now they enhanced charges suddenly 1 percent to 207 percent also not show 15 days free withdrwal balance too email also removed now so where to get solve my issue pls solve issue as soon as possible,2
lot of issues with connection messages not getting through really often and not receiving them really often but this is the app wich i use mostly hopefully it will improve and be the best like it was before,2
how can i change the language to english,2
im one of the first 10 downloaders of this app as soon as its released,5
ts a cool app but theres a one issue you cant upload more than 3 pictures why i want to share my school photos with himher and it cant create images ts so sad and annoying,4
it is good but must be updated,4
i love this my issue with it is mobile wont let me edit the messages i sent say i wanted to clarify or change what i said in the input you cant other than that its 5 stars its just so infuriating without being able to edit because i dont want to send additional messages its going to based on the previous thing sent i apologize for how rude this sounds but i just want to edit my previous inputs,4
i wont lie this thing helps me more than my teachers and makes my work and life so much easier hope to see it keep getting updates,5
doesnt make calls smoothly or anything smoothly,1
last update is miserable synchronization between mobile and desktop is too bad new contacts are not shown messages to myself not appeared,2
it help me for many things i am very happy from,2
best chatgpt everit only uses internetand has a voice aiwhich is pretty impressive,5
its good working for me,4
so far it serves best im yet to see its bad side,4
