Rating,Review
4,i ordered this cable to connect my phone to android auto of car the cable is really strong and the connection ports are really well made i already has a micro usb cable from ambrane and its still in good shape i connected my phone to the car using the cable and it got connected well and no issues i also connected it to the charging port and yes it has fast charging supportit quality is good at this price and the main thing is that i didnt ever thought that this cable will be so long its good one and charging power is too good and also supports fast chargingvalue for money with extra lengthgood working fineproduct quality is goodgoodvery goodbought for my daughters old phonebrand new cable it was not charging i already repacked and requested for replacementi checked again and there was some green colour pastefungus inside the micro usb connector i cleaned with an alcoholic and starts working againchecked the ampere of charging speed got around 1400ma1500ma not bad came with braided 15m long cable pretty impressive for the pricecant blame the manufacturerbut quality issues by the distributor they might have stored in very humid place
4,worked on iphone 7 and didnt work on iphone xrhttpsmmediaamazoncomimagesi71qffalv9zlsy88jpglookwise i didnt like it still i use it for my workproduct is quite good and is fast chargingloved iti like it looks last longthe sturdiness will depend on the manner of its use but its speed of charging is great very good product for the average income groupits great for charging devices with various types of ports but works best when charging one device at a timegood item
4,the product seems and works good but its not a fast charging cable as it has to be and when all the three ports are connected its more slower im charging only good is single cable all three ports are there so its a ok product only if yiu are looking for fast charging then i would say think twice before you buyi have been using foe a while now this is for sure not a fast charging cable and in this tge lightning charger is not working properly every now and then i have to check its it charging my iphone and i had to unplug and reply for charging its getting disconnected i dont understand how so this cable is no oki used this type c most commonly depending on my devices power wats and also etcnice chargercharging is bit slow when u connect multiple devicescannot transfer dataonly charging purposeso nice colour cheap and bestthe cable looks decent with charging but not fit for me as it does not support apple car play
4,the cable build quality is good for normal charging its great cable but doesnt support quick chargingworks for charging but other applications are hit or missexample my external keyboard doesnt work with itbest quality and length of wire was qute good and durability also good the cable is awesome and no charging issue till now because it is a braided cable chance of it damage are very less overall i like the product using this cable from past 40 days to charge lg g7thinq and samsung s21fe so far supergoodseems durable but there is a problem with the design that the pin is not long enough base of the pin is too thick that i couldnt insert it into my phones charging port without removing the caseover all quality bht achhi hai bs jo braided material use hua hai wo nylon nhi hai cotton type ka hai lekin 99 me 15m cable k hisaab se bht achhi hai majboot hai or charging bhi thik hai maine chapti wali buy ki thi jo photo me dikh rhi hai lekin delever ye gol wali hui jo ki jada better look deti hai agar 150 me mile to mt lena utne layak nhi hai
4,it does the job really well no complaints regarding the charging power at a price of rs 199 it is worth every buck although this cable is a bit shorter than the original one but the original oneplus cable is around rs900 so there is a huge price difference and it does the same job as the original oneuseful for c type charging but not suitable with all adapters or usb points serves the purposesturdily built does its job well charged my samsung galaxy m51 quicker than the original cable hope it stays the same going aheadliked the charging speed disliked the length on ipads this is awesome but its is not 6 foot long so this the only point to think otherwise it is the best cablegoodeverything is good including connectivity and stuffnice productim using this for my carthis product is nice and worth the amounti recommend it to anyone who are looking for this kind of cable
4,i am writing this review after 2 months the first cable had a cut and had to be replaced the second cable is working fine no issues using it to charge me ps3 controller works fine at a good price planning to pick up another one as a spareproduct oki bought this cable to charge my 10w bluetooth speaker and its working as expectedits lengthy and usable for car dashcamquality is average and micro type b end does sit very tightotherwise its all goodbut keep checking price of amazon basics cable of this type price drops many times thats better qualitythis is one of the good product in this price range quality is okayusing it for my laptop cooling pad overall build looks sturdy but longevity cannot confirm also you cannot connect 2 pcs using a male to male usb that is not how it works stop writing negative reviews after using this cable for something that it was not intended forcan confirm that it is 12m as most other products and not 15m as the seller claims both in title and on stickers on the productno review mentions this but i needed a 15m length for perfect use so disappointed as i have to rotate the cooling pad and use it cable falls short by around 15cmit works well the cable is soft and flexible in all probability it will last long alsobut pover quality
4,liked the product accurate to my usb apparatusgood valuetill now i had purchased about 20 cables both micro and c type for myself and my family in this last one year its all because this brand wins my trust by provinding great quality with reasonable pricenatested with 24 amps charger and phone gives full 24 amps power to phonethe cable looks thick and it has nice texture despite that i am sure it is not very durable the usb connectors are extremely sturdy and they dont bend or flex the wire will break before the connector doeswarning usb micro connector has a strong hook be careful while plugging and unplugging or you may damage your devicevery cheap and usable cable for 120 rssuper powernice productin this price this is the best one
4,everything is fine but it is bulky and hard it should be softer and thinnerthank you amazon very good charging cable goodgood onequality is good worth for 150200 short but durablevery good product satisfiedthis is fast charging c pin usbyou can purchase itnice product at price of below 100
4,works well on my 4k amazone fire tv stick as well as 2nd generation fire tv stickif your original remote is got damaged buy this one but price is a bit high should have been available for rs 800liked it and and it suited very well for my fire tvthe representative are very friendly and supportiveproduct was good customer service was also goodit been a month since i started using this product the product is good but it lags a lot it was the same before but i thought since it is new over time this would get resolved but its still the same it takes time to perform an action most of the times it not up to the expectation that is the reason why i am changing the review thanksit works with fire stick lite and to my surprise volume controls are also working which was missing in the original one setup is also quickworking as expected support is promptthis remote is good as expected shared manual is very simple to follow i am happy with this product
4,worked on iphone 7 and didnt work on iphone xrhttpsmmediaamazoncomimageswwebp402378t2imagesi71qffalv9zlsy88jpglookwise i didnt like it still i use it for my workproduct is quite good and is fast chargingloved iti like it looks last longthe sturdiness will depend on the manner of its use but its speed of charging is great very good product for the average income groupits great for charging devices with various types of ports but works best when charging one device at a timegood item
4,4 i bought it formy samsung e4000 series led tv the remote works i use it mostly to control volume and source and it does its work am happy with itat first they had delivered one remote that didnt work and then i got a replacement which works as expected thank yougreat its a replica of my old samsung remote i have used it for a month now and no issues good productworks fine with my samsung smart tv no issues till nowdoes everything the original remote doesnot a genuine product seems brittle and a little tough around the edges lighter than original remote probably due to the poorer quality of plastic but for my usage thats ok as there are no kids to damage it i barely use 24 buttons in the entire remote source switch to hdmi for chromecast volume buttons play and pauseit works even with older 40 inch samsung 3d tv with smart remote one
4,the color is not same as what is shown in images rest the quality is goodgo for it it is useful and strong also but buy in sale or discounted price onlybest for daily use bit be alert from delivery man of dtdc of amazon even they are ready for anything like gundasusing from several months very good product if you want to avoid the cable this is a best producteco dot 3rdproduct does its work but quality can be improved edges are not smooth and is made of poor quality plastic no shine but dull outlook still ok to buy in this pricethe product correctly holds the echo dot as well as the cables without hindering the flat placement on the wall the position of the holder can be shifted slightly as well in terms of distance from the wall because the holder can slide on the adapter these are the biggest pros for the product as for the cons the product could improve on the plastic quality and texturequality need to improve but not bad happy to purchaseif your power outlet is not going to hold the charger stronger dont go for it it might fall down
4,the build quality is good not sure on the reliability front lets see in few months the sound quality is satisfactory there is a reduction in sound which is expected during conversion anyway but considering the price its negligible overall a good buy will recommend this one especially for tvs without optical out and just coaxspdif outhow relace it with warrantyfor converting digital audio of sony bravia xr55x90j 4k uhd to sony davdz150kanalogue with rl sound ouputfirst device did not work may be my errorreplacement device is excellentit is giving me virtual 51 effect while watching movies on disney hot star and amezon primemy 15cyears old dav dz150k home theaterwithout any digital output is giving perfe ct virtual 51 effect on pcm audioreplacement device was delivered by amezon injust two days timeexcellent service by amezonthanks also to u tube from where i learned my lessons of installing this classic devicei was very disappointed on 1st device and as there is no return policy i asked for replacement and it worked very welland now i am very happy and would like to recommend to people who have new tv without any analog output and has only digital and hdmi output and old home theater systems with only analogcomponent or composit outputthank you amezon for this diwali giftdoesnt provides surround soundvery nice product i am using it last few months sound quality is very goodgoodsoooo nicegood
