review,rating
i just love this app ad ertisements doesnt irritate you while watching your videos it is better other video player app which is boring but still people used to use it but uplayer probided a substitute thanks to the developers,4
its good software but i dont know when i am trying to update after some loading stop working others all aaps was update properly but chrome not solve this problem,3
firstly thanks for this amazing free app but when i do voice calls it doesnt work,2
im not able toh open viber app by clicking on message in notification if the message se not seen for long time and also not able to reply please if this issue and its happening since 1month after i started using oneplus 8t so fix this bugs it will make work easy,3
overall its good pr sometimes it doesnt provide satisfactory answer,3
chatgpt is very fun but him randomly saying the words culture or cultural in topics it has zero relation to and chatgpt always putting a comma before the addressed name like instead of saying how was the day elizabeth it says how was the day elizabeth the thing about the random culture and cultural word throwing and that beforeadressedname comma are both killing me on the inside my experience would be better without those two things and your flagging system is too sensitive,4
very badthis app is too slow to video conversationit is very disappointing for me,1
just got it well see fingers crossed tho,4
for last few daysapp showing technical issues and failures if payments please look into matter,4
dear google only reason why am i giving 1 star is that tab grid view layout i just dont like viewing my tabs like this please provide a option where we can switch from grid to list layout old type,1
chatgpt clearly is not neutral in the answers it provides simply ask a question regarding gender or who can give birth and listen to the ridiculous responses it gives which is very worrying for the future of ai because ai will soon be everywhere yet cant even answer a simple question honestly thanks to the weirdos training it,3
great it needs to learn some more to be able to help in other ways but its a great tool,5
really helpful to my studies,4
i could give it 5 stars but now updated app doesnt have save to gallery direct system we have to save alternate video or pics one by one its very annoying update i request to care about this thing please,4
we cant add money using upi and you support is useless please fix it,3
i would love it if it could read it out for mebut it really good and i can recommend it for any one,4
no artificial no intelligent biased knowledge,1
this is amazing app seriously i am happy for the use this app,5
very good for student to gain knowledge and gk,5
chat gpt and bing is better and very helpful for everyone than google,5
a very helpful and user friendly app,5
web version is better and fast,3
getting sever error while retrieving history data,3
its good i wish it has pictures but its still good,5
its ok it could add more like easy connectly to windows,3
i give 5 star for new experience app,5
it doesnt allow me view my files in word format it shows pop up message file not supported if i try opening,2
hes just perfect but tho i think it could ha imve more,5
easy to use file manager however using with back gestures is little difficult especially when swiping from left side for back function,4
a must have if you are an ai enthusiast like me,5
i do work on multiple devices so i need to use history across these devices even though i have synched all my brave browser i cant see the synched history please fix this as this is one of the important features,1
i no it is d,3
you should be able to edit your prompts like the desktop version,3
overall good but i think that there is for sure credit risk to interest account holders and i dont know what if bharatpe debtor default to whom they give loans from deposit ie interest account in which money of business man gets deposit if he opts for such interest account can your team ensure that how safe is it to keep money in interest account and what are your risk mitigation strategies in case of liquidity crunch and how can one get his money back in case of any operational failure,3
very good hes like a best friend to me or a little assistant that knows everything but remember kids use it to cheat for answers on theyre lessons but still its very very good,5
right now theres a high much expectation here to be so extense deep in the dive and concise in filtering articulate content,3
i prefer google to any other browser because of its cross platform compatibility my only complaint is that the grouped tabs feature seems to come and go currently its not grouped and its frustrating because i have a lot of tabs i keep open at once 60 currently and i love being able to group them for ease of use please fix this feature and make it stable,4
it is the worst app i had ever seen,1
the app itself is very good however the staff team of discord itself take a lot of time to respond to appeals and at times dont even respond,3
really appreciate the app version of chat gpt it really helps a lot thank you,4
these app is very helpful to studying studentsto know or again more knowledge,4
it cant show you images,1
very good app with zero clashes and ads it is also educationally helpful,5
having problems while loading video when the rotation changes video got stuck and black screen appears it is not able to maintain its previous state it took longer time to stream video and getting error video can not be played this application need a proper testing before deployment,2
very nice app to use,5
tell lies unreliable and untrustworthy this thing was last updated in 2022,1
would be nice if can share picture and choose to save to fx file directory fx network directory,3
dear sir this is very good app for money tranfering and too much secure but the only issue is plz increase the limits of transection it continuously shows that u have reached the daily limits of transaction 1 lakh plz try again in 24 hours plz solve this issue and increse the limits and also check for the server problemsit always keeps happening,3
working slow and typing intake is not appropriate,2
it used to be the best but since last update it has become unusable it doesnt allow you to type anything when trying to type a keyword to search on google tapping on any link or text takes to some other tab and this is very irritating,3
first of all i did subscribed one month because the game i was playing i noticed every time i was playing for a while it was slowing down i had to reconnected every 10 minutes i think other browsers was better thats my opinion about puffin,3
i really love this app because this app giving answers when i ask question and its so much fun to talk to chatgpt even dad jokes and when i was sademotional the app give me something to do i really love it and it looks like my new friend is here,5
its good but not perfect chatgpt cant solve easy math problems it is only for general use,3
my chat gpt camera not work,5
chatgpt is a verey help full,3
the original gpt for free,5
the status bar is bigger than the required size in the lasted ui update please decrease the overall size for more space for the browser window and an option to remove the data savings widget will be appreciated,3
this app is very good but it cant read the copy pasted questions over all app is very very good help in completing homework,5
lacking delete browser history by default settings,3
so far so good the app looks fine and runs quite smoothly i do suggest the addition of dark mode or day mode theme to save phone battery and for better navigation performance,3
this app become wrost day by day as it cant play any video linkwhy playit player option are not appear to any linkplease solve the problem as soon as possible,1
it is so good app for me to do my homework,5
very good helps me allot but sometimes it doesnt tell correct answers,4
i cant even join to an open chat because of your user protection policy,1
money debited on tatasky recharge of 290 rs butrecharge not done nothing showing in transaction history either transaction failed pending or sucess,2
no adds typing and can do rps perfectly 1010 5 stars you should get it i think its the best ai app to talk to ur fav characters and you can even become your favorite,5
not best video playerbut its niceand new option to watch videos online just outboxed this appkeep updating,3
its so good for me right now,5
the smarter ones of you might notice how this review section is indeed filled with ai written garbage pretty sad and nonsensical curry boys seem especially fond of doing that,4
thank you it was very nice to use but somehow lately the pop ups keep appearing and theres no way to get rid of it unless we click on it and then close the tab its annoying for real like how can u bare with it when it appears every 35 seconds and makes the page lagging too i try check the playstore but theres no update yet i dunno what to do,3
very good product with this price,4
am i just so the subscription i was furious because i dont think they all sound like they need a subscription,1
i can no longer save my whatsapp status any solution or suggestions aside that id have given yall 5star,3
zip balance not transferable to walet friendly thats why very much problem persists in make payment to third parties,3
it cannot read usb drive please fix it,3
very good proud of you,5
only problem is that while calling you cannot hear the other person or see them other than that chatting and everything else is okbut please fix the app for calls to work,1
i love kakaotalk and ive been using it for a long time but i hope 1 it can be moved to sd card 2 international users can also have the same features that korean users have such as adding songs to profile 3 theres deleteunfriend option without blocking someone 4 therell be a lite version,4
very helpful and good for research and development provided you should have skills to operate it,5
notifications are silent unless app is opentried changing it did not work,2
it works as advertised 5 stars for that but im terrified,5
doesnt go past create an account,1
it literally stops and hits me with an error almost like 30 to 60 messages i get hit with a error that i cant talk with the bot anymore and it even applies with starting a new chat please fix this and atleast make me satisfied of helping me in gmod animations,4
i dont use google or dropbox and there was no onedrive support as of yet there were ads and i had hoped to discover some way to pay for no ads but there was no way for no ads this app has great potential and ill keep an eye out for when this app gets onedrive cloud support and a pro version upgrade ive added this to my wishlist keep up the good work,3
excellent but response should be correct,4
caved to the misinformation pressure now results are inline with the establishment narrative,3
last data update is from january 2022 so this makes it 2 years old cant be very useful for up to date stuff otherwise all is great,3
not giving specific answer and discontinuity in conversation,3
orginal product from open ai,5
i am using this app for my education purpose only the new change ie the read loud voice is much helpfull me for study when i am on working,5
this app is so best me,5
till last year it was not good sometime transaction panding shows by it but now a days it works bery well,5
i have been using this app since it launched and i have solved many problems from this app such as essay writing web development facts knowledge and many things as well,5
i use chatgpt on my computer quite often and now that i thought about signing in from my phone it wont let me why i dont know i get redirected to the sign in page and sign in it never signs in and when i try to refresh the page it just says oops and and error screen appears mildly infuriating but still quite mad,1
pretty great app actually however way to few cloud providers are supported support for all the those providers who offer the most free storage should at the very least be supported such as eg mega just to mention one if the 10 largest providers get supported then a unequivocal 5 stars from me would be the result still great app already keep up the splendid work guys,3
everything is better but it doesnt support pause and resume download its downloading file will not resume if once disconnected the network,3
chatgpt 455 stellar at generating humanlike text across various topics userfriendly textbased interface highly knowledgeable but with a data cutoff consistent responses occasional misunderstanding wished for more context understanding and realtime data integration overall a versatile tool for sparking creativity and productivity,5
very useful application for me their service ar very good,5
answer every question even in french,5
better than siri or alexa,5
this app was working well in my old mobile but in new mobile its not opening itself it starts crashing while open i dont know why this is happening please correct this as soon as possible,1
very good but does not has the option of text to imagevideo and voice,4
while it is very convenient to use when out of wifi or data range it doesnt work well at times and the call quality isnt good for both options if you dont have wifi,3
amazing we cook together alot,5
heres the thing it is not yet completely as feature rich as the desktop version i cannot search for plugins and browse plugins besides my recent ones i searched on my computer before thats silly considering i pay for the premium version im sure its being worked on and when it is done i will update my review to 5 stars still incredible amazing and somewhat intimidating technology,4
fast downloading but the downloading of file starts again when it reaches to finish,2
after the latest update videos do not playback from the last stopped time all videos start from the beginning,2
this is really a good and awesome app,5
i love it it helps me study well,5
outdated ui design feels awkward to use,3
its amazing platform to learn new things without wasting time,4
gp better than another appsometime trasfer hold processing stage this is one of the drop back,4
extremely buggy uiux not friendly doesnt recognise most you qr codes doesnt allow spending from wallet,3
where is my voice chat feature on my chat gpt app,1
app is incredibleno ads and smooth experience,5
the app is convenient although the older version that required a password to access it was better i would like the app to ask for a password before allowing use,3
one of the best assistant i have ever,5
it gives wrong answer ans loda app,1
i have been using this app for long time and also gave 5 star at that time but now in past 4 days when ever i am going to payment password entery screen it becomes blank please solve the issue i gave 3 star because it gave me good serve in past i was not expecting this from google solve it,3
my zip block last 16th september 2021 and till date not open always said that our apps upgraded technical problem etc and please bear with us non satisfactory reply always but one thing is if you want any recharge this is very good,3
interesting to get in touch with this app,5
i love messenger except for the fact that since last monday it wont actually notify me if i get a message please fix,3
an amazing entity and i am glad it was created thank you,5
i like itbut gpt is not providing pictures and deletes history,4
i am here with a suggestion to whatsapp team please provide an option to select broadcast list in the only to these contacts section in status privacy this will help us share the status to only particular group for example if i am teacher and i want to share my family picnic status only with my family and friends but not my students then i can create broadcast lists and share my status according would be great if you implement this,3
i cant log in anymore it says i need to put my code i cant activate it thru text or via call version of my viber in updated but still keeps on saying i need to update,3
recent version v1200806 is not good as previous cause im not able to download whatsapp status videos please push another update that will support this function,3
after the latest update unable to supercash for bill payments also supercash not getting credited for credit card payments horrible experience,3
good experience happy with it,5
it doesnt allows to access otg,2
good but sometimes it passes wrong news please check it,4
the app is good but again i had came here to describe my network issue and internet problem how many times will i have to say for network problems please airtel team solve this problem otherwise i would have to change my sim card but i dont want change so please solve this problem in kharanza road,3
recent update seems to have made it very unstable seems to crash more often and doesnt cope as well with large pages,1
ita great assistant app for nearly everything but some features are lacking,4
voice assistance was awesome feature it works perfectly,5
openai have placed the standard for ai as the app develops they have proven once again that they are still on top of all of the ai models in the market i have tried most of them well done open ai,5
censored to the point of uselessness,1
nice app very useful app i like it but sir zip payment is not working properly amount deducted but not credited to merchant and your customer support is very slow making problems,4
too much of a hassle on android,2
amazing app can help with all durant ages good advice does what its designed to do highly recommend,5
cannot cut paste at ext storage fix it,1
very nice app for video i have give him 5 star rating for this but one more problem is that mx player de not have marvel movies se that i can see all marvel movies for free,5
listen discord if been on this app when it first came out i would like to make a request that can u add more themes please,4
